id,name,distillery_id,description
bushmills,Bushmills,bushmills,
clonakilty,Clonakilty,clonakilty,
dingle,Dingle,dingle,
egans,Egan's,,
glendalough,Glendalough,glendalough,
grace-omalley,Grace O'Malley,,
hapenny,Ha'penny,,
high-n-wicked,High N' Wicked,,
hinch,Hinch,hinch,
jameson,Jameson,midleton,
kilbeggan,Kilbeggan,kilbeggan,
killowen,Killowen,killowen,
knappogue-castle,Knappogue Castle,,
limavady,Limavady,,
lost-irish,Lost Irish,,
method-and-madness,Method and Madness,midleton,
michael-collins,Michael Collins,,
paddy,Paddy,midleton,
powers,Powers,midleton,
proper-twelve,Proper No. Twelve,,
redbreast,Redbreast,midleton,
roe-and-co,Roe & Co,roe-and-co,
silkie,Silkie,sliabh-liag,
slane,Slane,slane,
spot,Spot,midleton,
teeling,Teeling,teeling,
the-busker,The Busker,royal-oak,
the-irishman,The Irishman,,
sexton,The Sexton,bushmills,
tyrconnell,The Tyrconnell,cooley,
tipperary,Tipperary,,
tullamore-dew,Tullamore D.E.W.,tullamore,
two-stacks,Two Stacks,,
waterford,Waterford,waterford,
west-cork,West Cork Distillers,west-cork,
writers-tears,Writers' Tears,,
