id,name,county,country,lat,lng,founded,website,visitor_centre,description
bushmills,Bushmills Distillery,Antrim,Northern Ireland,55.202936,-6.517221,1784,https://bushmills.com,true,"It's often a surprise to whiskey drinkers to find a village surrounding the famous home of Bushmills whiskey, but the more than eighty listed buildings that shape the centre of this heritage site reflect the long-held position of Bushmills as a place of industry and success.

When water was the most bankable power source around, the mill's pulling profit from the river Bush made the village a significant commercial success in this quiet corner of north Antrim, and the distillery grew from that. It's from a tributary of the same river Bush, called St Columb's Rill, that the Bushmills Distillery still takes its water today, and visitors marvel at how close they can get to a natural water source that is destined to be transformed into the core whiskeys that make up the Bushmills brand. Located just two kilometres from the dramatic Causeway Coast,

the distillery receives more than 120,000 visitors a year, making it one of the most popular tourist destinations in the region.

Bushmills has changed hands many times over the centuries before current owners, Mexican liquor brand Jose Cuervos, took up residence. Its previous owner, Diageo, spent a reputed €100 million modernizing and enlarging the distillery before selling it on. Each change of ownership brought with it the promise of a continued future for the brand and the many local people who are involved in its creation. But, regardless of who has been in charge at any given time, the identity of this truly Irish and Northern Irish brand has never quite been weakened, bringing a rich and exciting layer of experience to the Irish whiskey story."
midleton,Midleton Distillery,Cork,Ireland,51.916344,-8.165174,1825,https://www.jamesonwhiskey.com/en-IE/visit-us/jameson-distillery-midleton,true,
teeling,Teeling Whiskey Distillery,Dublin,Ireland,53.337862,-6.277123,2015,https://teelingwhiskey.com/,true,
waterford,Waterford Distillery,Waterford,Ireland,52.264308,-7.120997,2014,https://waterfordwhisky.com/,false,
clonakilty,Clonakilty Distillery,Cork,Ireland,51.62165,-8.885500,2016,https://www.clonakiltydistillery.ie/,true,"Working distillery, visitor centre, and shop. Tours daily.

The family-run Clonakilty Distillery is a powerful n engine at the heart of this small County Cork town. new This is a place that knows the value of a brand: it's been the home of the secret-recipe Clonakilty black pudding since the 1880s. The young distillery founded by Michael and Helen Scully is, not surprisingly, ambitious to join its famous older neighbour in the pursuit of perfectly-balanced flavours that take root in the landscape around them.

The distillery's story emerges at the point where the ocean meets the land surrounding the Galley Head lighthouse, 200 metres above the sea and a short drive from the town. It's a dramatic location, with the wind and waves of the wild Atlantic testing each generation of the Scully family that has tried to pull a living from the ground here.

The family are eighth-generation farmers, who had attempted to diversify their business a number of times before realizing the value of the barley they were growing from earth seeped in Atlantic sea salt and sand. An idea of a craft whiskey captured their imagination, and grew rapidly into a €10 million waterfront distillery in the town and a bonded warehouse on their land at the coast.

Head distiller Paul Corbett returned to his home county from his role in Teeling Distillery in Dublin to oversee operations, and distilling began in March 2019. As they wait for their own triple-distilled single pot still spirit to mature they have launched the Clonakilty brand using sourced whiskey they have blended and matured."
dingle,Dingle Distillery,Kerry,Ireland,52.141928,-10.289287,2012,https://dingledistillery.ie/,true,"The people behind Dingle Distillery were always ahead of the curve. Years before the current crop of new recruits to the Irish whiskey business, Dingle Distillery was re-inventing what it meant to be an independent craft distillery in Ireland. Three friends and business partners, Oliver Hughes, Liam la Hart, and Peter Mosley found a home for their imagination in Dingle, in County Kerry. The distillery's big blue shed across the bridge at the bottom of the town is a natural part of the landscape now, drawing praise and creating friendships all across the world. No strangers to going it alone, they are also the people behind the Porterhouse group who redrew the map for craft beer decades before it became a trend here.

Dingle has capacity to distil only a small number of casks per day, a restricted quantity that has become a virtue among its fans, encouraging sell-out releases of its four batches among a public keen to collect. The first spirit was distilled in 2012 and it created award-winning

brands Dingle Gin and Dingle Vodka, while it quietly matured its single malt and pot still release.

The staff in the distillery exhibit real pride in their work, and it's hard to overestimate the difference the distillery has made to this close-knit tourist town, not just because of the employment it creates but in the shared sense of identity it conjures. It's a hard-working place, where things happen slowly and by hand: labelling, bottling, tending of casks, mashing.

A well beneath the distillery supplies the water and Dingle's microclimate, with its salty, moist Atlantic air, works its magic beneath the wood. Stories bounce around the building and tours come stuffed with personality. A visit here is a genuinely inspiring event."
west-cork,West Cork Distillers,Cork,Ireland,51.557804,-9.268941,2003,http://www.westcorkdistillers.com/,false,
hinch,Hinch Distillery,Down,Northern Ireland,54.461021,-5.903713,2020,https://hinchdistillery.com/,false,
royal-oak,Royal Oak Distillery,Carlow,Ireland,52.703341,-6.978711,2016,https://royaloakdistillery.com/,true,
tullamore,Tullamore Distillery,Offaly,Ireland,53.377774,-7.492944,2014,https://www.tullamoredew.com,true,
