id,name,type_id,brand_id,distillery_id,abv,age_years,price_usd,rating,tasting_note,excerpt,related_titles,source_url,source_author,source_published,source_image_url
high-n-wicked-saints-and-scholars-ii-19-year-old-single-malt-irish-whiskey,High N' Wicked Saints And Scholars II 19 Year Old Single Malt Irish Whiskey,single-malt,high-n-wicked,,56.7,19,500.0,95,Intensive tropical fruit,"This very rare and exclusive 19-year-old single malt from High N' Wicked was bottled from one of five single barrels of various proofs. The nose is filled with tropical fruit, particularly pineapple...",High N’ Wicked Aeneas Coffey Single Grain Irish Whiskey|High N' Wicked Singular Limited Release No. 6 ‘The Judge’|High N' Wicked ‘The Wild Rover’ Single Malt Irish Whiskey|Proper No. Twelve Irish Whiskey,https://vinepair.com/review/high-n-wicked-saints-and-scholars-ii-19-year-old-single-malt-irish-whiskey/,Tim McKirdy,2023-03-13,https://vinepair.com/wp-content/uploads/2023/03/btb-irish-whiskey-high-n-wicked-single-malt-card.jpg
waterford-single-malt-irish-whisky-biodynamic-luna-1-1,Waterford Single Malt Irish Whisky Biodynamic: Luna 1.1,single-malt,waterford,waterford,50.0,,120.0,94,Bursting with fresh summer berries and succulent fruit,"Waterford is the Irish whiskey distiller for wine drinkers, with terroir-driven expressions and biodynamic barley releases such as this. While the jury remains (mainly) out on the topic of terroir in...",Waterford Irish Single Malt Whisky 'The Cuvée'|Proper No. Twelve Irish Whiskey|Dingle Single Malt Whiskey Batch No. 4|Writers’ Tears ‘Red Head’ Single Malt Irish Whiskey,https://vinepair.com/review/waterford-single-malt-irish-whisky-biodynamic-luna-1-1/,Tim McKirdy,2023-03-13,https://vinepair.com/wp-content/uploads/2023/03/btb-irish-whiskey-waterford-whisky-biodynamic-luna-card.jpg
two-stacks-blended-irish-whiskey-tawny-port-cask-finished,Two Stacks Blended Irish Whiskey 'Tawny Port Cask Finished',blended,two-stacks,,65.0,,93.0,93,An intense blend of ripe berries and deep caramel,"This Two Stacks release enters bottle at a cask-strength 65 percent ABV, and comprises a blend of grain, pot still, and malt whiskeys. It spent the final days of its aging period in Tawny port casks...",Two Stacks The First Cut Irish Whiskey|Method and Madness Rye and Malt Irish Whiskey|Hinch Irish Whiskey Small Batch|Redbreast Single Pot Still Irish Whiskey Pedro Ximénez Edition,https://vinepair.com/review/two-stacks-blended-irish-whiskey-tawny-port-cask-finished/,Tim McKirdy,2023-03-13,https://vinepair.com/wp-content/uploads/2023/03/btb-irish-whiskey-tawny-port-cask-strength-two-stacks-card.jpg
method-and-madness-rye-and-malt-irish-whiskey,Method and Madness Rye and Malt Irish Whiskey,single-pot-still,method-and-madness,midleton,46.0,,80.0,93,An innovative and exciting release,"Irish Distillers International Limited may be best known as the parent company of brands such as Jameson and Redbreast, but its experimental project Method and Madness is worthy of a good share of...",West Cork Distillers Single Malt Irish Whiskey Bog Oak Charred Cask|The Tyrconnell 10 Year Port Cask Finish Irish Whiskey|Redbreast Single Pot Still Irish Whiskey Pedro Ximénez Edition|Writers’ Tears ‘Red Head’ Single Malt Irish Whiskey,https://vinepair.com/review/method-and-madness-rye-and-malt-irish-whiskey/,Tim McKirdy,2023-03-13,https://vinepair.com/wp-content/uploads/2023/03/btb-irish-whiskey-method-and-madness-card.jpg
writers-tears-red-head-single-malt-irish-whiskey,Writers Tears Red Head Single Malt Irish Whiskey,single-malt,writers-tears,,46.0,,70.0,91,Ripe banana meets oak and dried fruits,"Crafted from a triple-distilled single malt, this whiskey is aged exclusively in sherry butts, which lend a rich, copper hue (and also influenced its name). The intensity of its aromas is striking...",Paddy's Old Irish Whiskey|Teeling ‘Blackpitts’ Peated Single Malt Whiskey|Clonakilty Distillery Single Batch Double Oak Cask Finish Irish Whiskey|Method and Madness Rye and Malt Irish Whiskey,https://vinepair.com/review/writers-tears-red-head-single-malt-irish-whiskey/,Tim McKirdy,2023-03-13,https://vinepair.com/wp-content/uploads/2023/03/btb-irish-whiskey-writers-tears-red-head-card.jpg
killowen-distillery-single-malt-irish-whiskey-signature-5-year-rum-and-raisin-inspired,Killowen Distillery Single Malt Irish Whiskey Signature 5 Year Rum and Raisin Inspired,single-malt,killowen,killowen,55.0,5,70.0,92,Liquid dessert,"While cask-finished whiskey lovers may be more interested in the esoteric offerings of Killowen's 10-year-old “Bonded Experimental” series, this 5-year-old “Signature” expression offers much in the...",Writers’ Tears ‘Red Head’ Single Malt Irish Whiskey|Clonakilty Distillery Single Batch Double Oak Cask Finish Irish Whiskey|Proper No. Twelve Irish Whiskey|Hinch Irish Whiskey Small Batch,https://vinepair.com/review/killowen-distillery-single-malt-irish-whiskey-signature-5-year-rum-and-raisin-inspired/,Tim McKirdy,2023-03-13,https://vinepair.com/wp-content/uploads/2023/03/btb-irish-whiskey-killowen-distillery-single-malt-card.jpg
the-midnight-silkie-irish-whiskey,The Midnight Silkie Irish Whiskey,blended,silkie,sliabh-liag,46.0,,48.0,92,Smoky Irish whiskey at its finest,"Crafted from a blend of triple-distilled whiskeys, this release combines five single malts, each of which aged in different types of barrel. One of the five malts (aged in bourbon casks) is peated...",Method and Madness Rye and Malt Irish Whiskey|Writers’ Tears ‘Red Head’ Single Malt Irish Whiskey|Two Stacks Blended Irish Whiskey 'Tawny Port Cask Finished'|High N’ Wicked Aeneas Coffey Single Grain Irish Whiskey,https://vinepair.com/review/the-midnight-silkie-irish-whiskey/,Tim McKirdy,2023-03-13,https://vinepair.com/wp-content/uploads/2023/03/btb-irish-whiskey-the-midnight-silkie-irish-whiskey-card.jpg
west-cork-distillers-single-malt-irish-whiskey-bog-oak-charred-cask,West Cork Distillers Single Malt Irish Whiskey Bog Oak Charred Cask,single-malt,west-cork,west-cork,43.0,,46.0,93,"A savory, complex summer sipper","After aging for 4 years in sherry casks, this single malt spent an unspecified finishing period in charred bog oak casks, an atypical vessel made from wood that has typically been buried and...",West Cork Distillers Bourbon Cask|High N' Wicked ‘Saints And Scholars II’ 19 Year Old Single Malt Irish Whiskey|High N' Wicked ‘The Wild Rover’ Single Malt Irish Whiskey|Limavady Single Barrel Single Malt Irish Whiskey,https://vinepair.com/review/west-cork-distillers-single-malt-irish-whiskey-bog-oak-charred-cask/,Tim McKirdy,2023-03-13,https://vinepair.com/wp-content/uploads/2023/03/btb-irish-whiskey-west-cork-bog-oak-charred-cask-card.jpg
teeling-small-batch-irish-whiskey,Teeling Small Batch Irish Whiskey,blended,teeling,teeling,46.0,,42.0,92,Sweet caramel leads to rich molasses,"Made using a blend of grain and malt whiskeys that have aged for up to 6 years in bourbon barrels, it then spends a final 6-month period in Central American rum casks, adding a unique and delightful...",Teeling ‘Blackpitts’ Peated Single Malt Whiskey|Writers’ Tears Double Oak Irish Whiskey|Waterford Single Malt Irish Whisky ‘Biodynamic: Luna 1.1’|West Cork Distillers Single Malt Irish Whiskey Bog Oak Charred Cask,https://vinepair.com/review/teeling-small-batch-irish-whiskey/,Tim McKirdy,,https://vinepair.com/wp-content/uploads/2023/03/btb-irish-whiskey-teeling-irish-whiskey-card.jpg
hapenny-four-cask-irish-whiskey,Ha'Penny Four Cask Irish Whiskey,blended,hapenny,,43.0,,33.0,90,"A rounded, harmonious blend","Crafted using four types of casks (Port pipes, bourbon casks, sherry butts, and double charred barrels),as well as two types of base whiskey (malt and grain), Ha'Penny takes its name from an old...",Michael Collins Irish Whiskey|Two Stacks The First Cut Irish Whiskey|Paddy's Old Irish Whiskey|High N' Wicked ‘The Wild Rover’ Single Malt Irish Whiskey,https://vinepair.com/review/hapenny-four-cask-irish-whiskey/,Tim McKirdy,2023-03-13,https://vinepair.com/wp-content/uploads/2023/03/btb-irish-whiskey-hapenny-four-cask-irish-whiskey-card.jpg
